所属階層１,所属階層２,所属階層３,所属階層４,所属階層５
,,,,
システム本部,レバテック開発部,ITRプロダクト開発グループ,オウンドITRチーム,
システム本部,ソリューション開発部,,,
システム本部,ソリューション開発部,アグリゲートメディア事業,,
スタッフィング事業本部,,,,
マーケティング部,BizOps戦略室,LTグループ,,
マーケティング部,業務推進室,業務支援チーム,,
総務部,総務グループ1,,,
システム本部,情報システム室,コーポレートエンジニアリンググループ,バックオフィスマネジメントチーム,
システム本部,レバテック開発部,ビジネスサポートグループ,ITRチーム,
総務部,総務グループ1,,,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
総務部,,,,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北関東北信越グループ,北信越Dチーム
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
システム本部,情報システム室,コーポレートエンジニアリンググループ,コーポレートデベロップメントチーム,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
レバテック株式会社,管理部,労務グループ,,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム1,ITエンジニアチーム1第1ユニット
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
人事本部,人事労務部,,,
LW経営企画本部,経営企画部,CRMセールス,看護長期管理チーム,
エージェント第二事業本部,保育士エージェント事業部,,,
人事本部,人事戦略部,,,
海外事業本部,コーポレート部,管理グループ,,
経営企画管理本部,経理部,,,
立川支店,,,,
経営企画管理本部,経営企画室,政策企画グループ,,
人事本部,人事労務部,,,
レバテック株式会社,管理部,法務グループ,,
システム本部,ソリューション開発部,アグリゲートメディア事業,ITグループ,
海外事業本部,セールスオペレーション部,,,
マーケティング部,データ戦略室,データサイエンスグループ,,
レバテック株式会社,エンタープライズ事業部,エンタープライズセールスグループ,エンタープライズセールスチーム,ユーザーユニット
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
LW経営企画本部,,,,
海外事業本部,人材事業推進部,,,
エージェント第一事業本部,介護エージェント事業部,法人グループ,プロフェッショナル法人チーム,
エージェント第一事業本部,看護エージェント事業部,法人グループ,MDC美容チーム,
中途採用事業本部,ハタラクティブ事業部,,,
レバテック株式会社,ITソリューション事業部,フォローグループ,クリエイターチーム,クリエイターフォロワー第1ユニット
人事本部,人事戦略部,,,
エージェント第一事業本部,リハエージェント事業部,,,
LW管理本部,LW管理部,総務チーム,,
LeveragesU.S.Inc.,,,,
エージェント第一事業本部,,,,
システム本部,レバテック開発部,,,
システム本部,メディアシステム部,リクルートメントDXグループ,リクルートメントDXチーム,
中途採用事業本部,BPO推進室,営業推進グループ,LTチーム,アシスタントユニット
エージェント第二事業本部,保育士エージェント事業部,東京グループ,,
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,LTチーム,
人事本部,人事採用部,新卒採用グループ,,
マーケティング部,事業戦略室,第一グループ,,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
システム本部,レバテック開発部,ITSプロダクト開発グループ,リモピアチーム,
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,HT・新規事業チーム,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
レバテック株式会社,SES開発部（外勤）,,,
マーケティング部,プロダクト戦略室,メディアグロースグループ,,
レバテック株式会社,シェアードサービス推進部,,,
レバテック株式会社,,,,
スタッフィング事業本部,カスタマーサクセス推進室,,,
中途採用事業本部,ハタラクティブ事業部,首都圏グループ,,
システム本部,レバウェル開発部,CXグループ,,
人事本部,人事採用部,新卒採用グループ,営業職第四チーム,専門職ユニット
海外事業本部,外国人人材紹介事業部,特定技能グループ,,
レバテック株式会社,シェアードサービス推進部,サービスオペレーショングループ,,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
中途採用事業本部,ハタラクティブ事業部,首都圏グループ,HTCA首都圏JGチーム,
エージェント第一事業本部,看護エージェント事業部,,,
レバテック株式会社,シェアードサービス推進部,サービスオペレーショングループ,フリーランスチーム,インバウンドユニット
エージェント第一事業本部,看護エージェント事業部,法人グループ,東日本法人Aチーム,
レバテック株式会社,ITソリューション事業部,インフラエンジニアグループ,INキャリアアドバイザーチーム,INキャリアアドバイザー第1ユニット
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,計上ユニット
中途採用事業本部,ハタラクティブ事業部,首都圏グループ,首都圏RAチーム,
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,運用FLユニット
レバテック株式会社,ITソリューション事業部,BPOグループ,,
マーケティング部,業務推進室,業務支援チーム,,
人事本部,人事採用部,中途採用グループ,中途採用チーム,ビジネス職採用Bユニット
LW管理本部,LW管理部,派遣事業管理グループ,労務チーム,
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,営業開始／案件／推薦ユニット
マーケティング部,BizOps戦略室,,,
レバテック株式会社,ITソリューション事業部,ITS支店グループ,,
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,,
LW管理本部,LW管理部,紹介事業・法務グループ,法務チーム,
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,
総務部,総務グループ2,,,
マーケティング部,事業戦略室,第二グループ,ケアマーケティングチーム,
レバテック株式会社,ITソリューション事業部,フォローグループ,クリエイターチーム,クリエイターフォロワー第1ユニット
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,,
マーケティング部,業務推進室,業務支援チーム,,
レバテック株式会社,管理部,サポートグループ,,
中途採用事業本部,HC事業企画部,事業推進グループ,CAアソシエイトチーム,
広報本部,広報部,社外広報グループ,,
レバテック株式会社,ITソリューション事業部,ITS支店グループ,地方事業推進チーム,BPOユニット
レバテック株式会社,ITソリューション事業部,フォローグループ,クリエイターチーム,クリエイターフォロワー第1ユニット
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,中四国グループ,広島Aチーム
スタッフィング事業本部,看護スタッフィング事業部,東日本グループ,,
レバテック株式会社,管理部,業務管理グループ,審査チーム,就職ユニット
レバテック株式会社,シェアードサービス推進部,,,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北関東北信越グループ,北信越Aチーム
レバテック株式会社,管理部,サポートグループ,,
マーケティング部,機能戦略室,,,
人事本部,人事採用部,新卒採用グループ,新卒アシスタントチーム,
レバテック株式会社,管理部,サポートグループ,,
レバテック株式会社,シェアードサービス推進部,人事管理グループ,,
レバテック株式会社,ITソリューション事業部,セールスイネーブルメント室,オンボーディングチーム,
レバテック株式会社,シェアードサービス推進部,人事管理グループ,,
システム本部,レバテック開発部,ビジネスサポートグループ,LINE開発チーム,
レバテック株式会社,,,,
LW管理本部,LW管理部,派遣事業管理グループ,労務チーム,
レバテック株式会社,ITソリューション事業部,BPOグループ,現場推進チーム,日程調整ユニット
LW経営企画本部,経営企画部,CRMセールス,看護掘り起しチーム,
